date,open,high,low,close,volume,parkinson_volatility
2019-04-10,32548.88638392857,33209.29857142857,32218.68029017857,33020.609375,2632930,0.0181870931836783
2019-04-11,33303.64092807112,33350.81322400324,32690.401080953663,32831.91796875,650930,0.0120116244860251
2019-04-12,32360.1976037196,33067.78209942776,32360.1976037196,32973.4375,1032540,0.0129902945817736
2019-04-15,32973.4375,32973.4375,32973.4375,32973.4375,0,0.0
2019-04-16,32077.162109375,32360.195892693017,31511.09454273897,32077.162109375,2634720,0.0159685946320482
2019-04-17,32077.161574590777,32313.023056756883,31605.43861025856,31699.783203125,1854430,0.0132971012234413
2019-04-18,31699.78263274336,32407.36706650996,31511.09345040561,31982.81640625,1830550,0.0168434108164414
2019-04-19,32218.6778841722,32407.36706650996,31935.64411066556,31982.81640625,683530,0.0088060405368994
2019-04-22,31699.78498892172,32077.16338164697,31699.78498892172,31935.646484375,966920,0.0071073161378244
2019-04-23,31935.64516728206,33162.12489305656,31888.472870136888,32737.57421875,2128550,0.0235202683660848
2019-04-24,33020.60988259181,33397.98828125,32926.26528292726,33397.98828125,1576360,0.0085429776862126
2019-04-25,33586.67567567568,33586.67567567568,32926.26351351351,33162.125,1580250,0.0119264300404204
2019-04-26,33020.60492621528,33964.05078125,33020.60492621528,33964.05078125,3071980,0.0169183357999324
2019-04-29,33964.05078125,33964.05078125,33964.05078125,33964.05078125,0,0.0
2019-04-30,33964.05078125,33964.05078125,33964.05078125,33964.05078125,0,0.0
2019-05-01,33964.05078125,33964.05078125,33964.05078125,33964.05078125,0,0.0
2019-05-02,34435.77385545267,34435.77385545267,33869.70634002058,34388.6015625,2626910,0.0099542809997558
2019-05-03,34388.60451653393,34813.15518957756,33869.70924948061,34058.3984375,5455180,0.0164999720042653
2019-05-06,33114.95228160512,33775.36443536932,33020.60768821023,33209.296875,1798750,0.0135725822753026
2019-05-07,33397.986912393164,33775.365295584044,33020.60852920228,33114.953125,1143530,0.0135725822753025
2019-05-08,32737.57474180912,33256.47001869658,32643.2301460114,33114.953125,1476590,0.011177553367171
2019-05-09,33209.297720797724,33397.986912393164,32926.26393340456,33114.953125,913060,0.0085429776862126
2019-05-10,33303.640205091935,33681.01856435643,32831.917256011315,33350.8125,1571780,0.0153343106043576
2019-05-13,33256.46638997396,34152.73995225695,33256.46638997396,33964.05078125,1843190,0.0159710781833688
2019-05-14,33681.01702473958,34247.08453776042,33681.01702473958,33964.05078125,1447500,0.0100095851142039
2019-05-15,34247.08731429304,34813.15487320697,34105.570424564554,34530.12109375,2555920,0.012332285574128
2019-05-16,35647.13114754098,36229.91803278689,35550.0,35550.0,4834930,0.0113776838110989
2019-05-17,36000.0,36550.0,36000.0,36000.0,3878080,0.0091058577638491
2019-05-20,36000.0,36500.0,35600.0,36150.0,1340870,0.0149939850166368
2019-05-21,36300.0,36300.0,35900.0,36000.0,1863050,0.0066544858607918
2019-05-22,36200.0,36350.0,35750.0,35800.0,1126920,0.0099957015530594
2019-05-23,35500.0,35850.0,35200.0,35250.0,1688590,0.0109887592936004
2019-05-24,35250.0,35700.0,34800.0,35000.0,2774230,0.0153343106043577
2019-05-27,34850.0,35250.0,34850.0,35250.0,1049230,0.0068538399156035
2019-05-28,35300.0,35350.0,34500.0,34600.0,1920160,0.0146171001752204
2019-05-29,34400.0,35100.0,34200.0,34800.0,2330360,0.0155998693990421
2019-05-30,34950.0,35300.0,34500.0,35000.0,1094030,0.0137670487885838
2019-05-31,35000.0,35100.0,34500.0,34800.0,2071330,0.0103547600382217
2019-06-03,34250.0,34650.0,33800.0,33800.0,1803890,0.0149160924785477
2019-06-04,34000.0,34400.0,33800.0,34300.0,970280,0.0105673319531028
2019-06-05,34500.0,34650.0,34150.0,34350.0,676220,0.0087292409556783
2019-06-06,34350.0,34550.0,33900.0,34450.0,896230,0.0114061801909093
2019-06-07,34600.0,34800.0,34300.0,34750.0,844720,0.0086913413333994
2019-06-10,34800.0,35200.0,34800.0,35050.0,1738860,0.0068636313284787
2019-06-11,35150.0,35650.0,35050.0,35200.0,1331330,0.0101936456493246
2019-06-12,35150.0,35300.0,34950.0,34950.0,900490,0.0059842892741748
2019-06-13,34700.0,34900.0,34600.0,34700.0,598250,0.0051847332469266
2019-06-14,34600.0,34900.0,34600.0,34900.0,593520,0.0051847332469266
2019-06-17,34900.0,34900.0,34000.0,34000.0,1079830,0.0156904449522478
2019-06-18,34000.0,34100.0,33350.0,33500.0,1493030,0.0133562481246205
2019-06-19,33900.0,34000.0,33700.0,34000.0,655520,0.005322586133732
2019-06-20,34000.0,34900.0,34000.0,34900.0,914550,0.0156904449522478
2019-06-21,34900.0,34900.0,34300.0,34300.0,1961640,0.0104146171338677
2019-06-24,34500.0,35000.0,34400.0,34500.0,861360,0.0103846023301802
2019-06-25,34500.0,34700.0,34250.0,34300.0,863690,0.0078391988162965
2019-06-26,34200.0,34400.0,34150.0,34350.0,918020,0.0043804804302333
2019-06-27,34350.0,34350.0,33750.0,33750.0,1111580,0.0105828501299848
2019-06-28,33750.0,34000.0,33500.0,33800.0,1226980,0.008897365762313
2019-07-01,34150.0,34400.0,34100.0,34250.0,872830,0.0052604237442764
2019-07-02,34100.0,34700.0,34100.0,34600.0,1522440,0.010475170294888
2019-07-03,34400.0,34400.0,34100.0,34300.0,759170,0.0052604237442764
2019-07-04,34300.0,34300.0,34300.0,34300.0,0,0.0
2019-07-05,34300.0,34300.0,34300.0,34300.0,0,0.0
2019-07-08,34300.0,34300.0,34300.0,34300.0,0,0.0
2019-07-09,34300.0,34300.0,34300.0,34300.0,0,0.0
2019-07-10,34300.0,34300.0,34300.0,34300.0,0,0.0
2019-07-11,34300.0,34300.0,34300.0,34300.0,0,0.0
2019-07-12,34300.0,34300.0,34300.0,34300.0,0,0.0
2019-07-15,34300.0,34300.0,34300.0,34300.0,0,0.0
2019-07-16,34300.0,34300.0,34300.0,34300.0,0,0.0
2019-07-17,36750.0,37400.0,36750.0,37000.0,1389990,0.0105293265610895
2019-07-18,36700.0,37050.0,36500.0,36600.0,1658240,0.008982048116251
2019-07-19,36800.0,37400.0,36800.0,37400.0,2259580,0.0097127918270202
2019-07-22,37400.0,37650.0,36600.0,36700.0,1403230,0.0169867018088165
2019-07-23,36500.0,37400.0,36500.0,37300.0,1387220,0.0146287363649149
2019-07-24,37600.0,37650.0,36950.0,37350.0,1677900,0.0112709164060692
2019-07-25,37350.0,37350.0,37350.0,37350.0,0,0.0
2019-07-26,37350.0,37350.0,37350.0,37350.0,0,0.0
2019-07-29,37350.0,37350.0,37350.0,37350.0,0,0.0
2019-07-30,37350.0,37350.0,37350.0,37350.0,0,0.0
2019-07-31,35700.0,37200.0,35350.0,36950.0,2277030,0.0306348486050586
2019-08-01,37000.0,37200.0,36800.0,37000.0,940850,0.0064926167961418
2019-08-02,36400.0,36850.0,36250.0,36250.0,826290,0.0098589552653094
2019-08-05,36250.0,36300.0,35000.0,35000.0,2629870,0.0219022748133476
2019-08-06,35000.0,35000.0,35000.0,35000.0,0,0.0
2019-08-07,35100.0,35300.0,34400.0,34700.0,1539740,0.0155103336248332
2019-08-08,34700.0,35800.0,34700.0,35500.0,1611220,0.0187424380548711
2019-08-09,35500.0,35500.0,35500.0,35500.0,0,0.0
2019-08-12,35400.0,35600.0,35250.0,35450.0,899890,0.0059336099201759
2019-08-13,35450.0,35450.0,34850.0,34900.0,1698060,0.0102516492869261
2019-08-14,35300.0,35500.0,34700.0,34700.0,1313810,0.0136885972542161
